Bus,d,Gamma,Threshold,Alpha,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,3,0.9,2,0.2,0.7587822014051522,0.8571428571428571,0.4642857142857143,0.6023166023166023,0.0501930501930501,-1.0,9
Bus115,3,0.9,4,0.2,0.7423887587822015,0.9833333333333332,0.3511904761904761,0.5175438596491229,0.0038610038610038,2.5,48
Bus115,3,0.9,8,0.2,0.6744730679156908,1.0,0.1726190476190476,0.2944162436548223,0.0,15.0,73
Bus115,3,0.9,16,0.2,0.6065573770491803,0.0,0.0,0.0,0.0,0.0,-1
Bus115,3,0.9,32,0.2,0.6065573770491803,0.0,0.0,0.0,0.0,0.0,-1
