Bus,Window Size,GLR Threshold,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time,Change Magnitude
Bus115,24,2000,0.8035087719298246,0.0,0.0,0.0,0.0,,-1,0.0
Bus116,24,2000,0.3029239766081871,0.2198952879581152,1.0,0.3605150214592275,0.0,91.0,91,-0.2462428700000014
Bus117,24,2000,0.8035087719298246,0.0,0.0,0.0,0.0,,-1,0.0
Bus118,24,2000,0.8035087719298246,0.0,0.0,0.0,0.0,,-1,0.0
Bus119,24,2000,0.8035087719298246,0.0,0.0,0.0,0.0,,-1,0.0
Bus121,24,2000,0.239766081871345,0.2053789731051344,1.0,0.3407707910750507,0.0,37.0,37,-3.999999975690116e-08
Bus135,24,2000,0.735672514619883,0.4228723404255319,0.9464285714285714,0.5845588235294118,0.0,479.0,479,-0.0047312749999992
Bus139,24,2000,0.2994152046783626,0.2190352020860495,1.0,0.3593582887700535,0.0,88.0,88,-0.0326491250000025
