Bus,k,Alpha,Threshold,d,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,10,0.3,5,3,0.6978922716627635,0.5747126436781609,0.8928571428571429,0.6993006993006993,0.4285714285714285,45,45
Bus116,10,0.3,5,3,0.3934426229508196,0.3934426229508196,1.0,0.5647058823529412,1.0,0,0
Bus117,10,0.3,5,3,0.6955503512880562,0.5753968253968254,0.8630952380952381,0.6904761904761905,0.4131274131274131,65,65
Bus118,10,0.3,5,3,0.7540983606557377,0.6329113924050633,0.8928571428571429,0.7407407407407407,0.3359073359073359,60,60
Bus119,10,0.3,5,3,0.7002341920374707,0.578125,0.8809523809523809,0.6981132075471698,0.416988416988417,46,46
Bus121,10,0.3,5,3,0.3934426229508196,0.3934426229508196,1.0,0.5647058823529412,1.0,0,0
Bus135,10,0.3,5,3,0.8969555035128806,0.7952380952380952,0.9940476190476192,0.8835978835978836,0.166023166023166,8,8
Bus139,10,0.3,5,3,0.6885245901639344,0.5660377358490566,0.8928571428571429,0.6928406466512702,0.444015444015444,59,59
