Bus,Window Size,QQ Threshold,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,24,0.1,0.2301980198019802,0.2126582278481012,1.0,0.3507306889352818,0.0,0.0,0
Bus116,24,0.1,0.7821782178217822,0.42,0.125,0.1926605504587156,0.0,441.0,441
Bus117,24,0.1,0.2648514851485148,0.2041666666666666,0.875,0.3310810810810811,0.0,11.0,11
Bus118,24,0.1,0.3465346534653465,0.1727272727272727,0.5654761904761905,0.2646239554317549,0.0,54.0,54
Bus119,24,0.1,0.2363861386138613,0.2002670226969292,0.8928571428571429,0.3271537622682661,0.0,10.0,10
Bus121,24,0.1,0.7920792079207921,0.0,0.0,0.0,0.0,,-1
Bus135,24,0.1,0.6881188118811881,0.0,0.0,0.0,0.0,60.0,60
Bus139,24,0.1,0.6497524752475248,0.0863309352517985,0.0714285714285714,0.0781758957654723,0.0,89.0,89
