Bus,k,Alpha,Threshold,d,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,10,0.1,5,3,0.6416861826697893,1.0,0.0892857142857142,0.1639344262295081,0.0,67,67
Bus115,10,0.3,5,3,0.6978922716627635,0.5747126436781609,0.8928571428571429,0.6993006993006993,0.4285714285714285,45,45
Bus115,10,0.5,5,3,0.48711943793911,0.433420365535248,0.988095238095238,0.6025408348457351,0.8378378378378378,44,44
Bus115,10,0.7,5,3,0.468384074941452,0.4253164556962025,1.0,0.5968028419182948,0.8764478764478765,25,25
Bus115,10,0.9,5,3,0.4355971896955503,0.4107579462102689,1.0,0.5823223570190641,0.9305019305019304,18,18
