Bus,d,Gamma,Threshold,Alpha,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,3,0.9,4,0.01,0.6065573770491803,0.0,0.0,0.0,0.0,0.0,-1
Bus115,3,0.9,4,0.05,0.6229508196721312,1.0,0.0416666666666666,0.08,0.0,25.0,93
Bus115,3,0.9,4,0.1,0.6487119437939111,1.0,0.1071428571428571,0.1935483870967742,0.0,11.5,66
Bus115,3,0.9,4,0.2,0.7423887587822015,0.9833333333333332,0.3511904761904761,0.5175438596491229,0.0038610038610038,2.5,48
Bus115,3,0.9,4,0.4,0.4707259953161593,0.4260204081632653,0.9940476190476192,0.5964285714285714,0.8687258687258688,-1.0,10
