Bus,K,Alpha,Threshold,d,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,16,0.2,2,3,0.8875878220140515,0.9,0.8035714285714286,0.8490566037735849,0.0579150579150579,0.0,43
Bus115,16,0.2,4,3,0.8548009367681498,0.9274193548387096,0.6845238095238095,0.7876712328767124,0.0347490347490347,1.5,46
Bus115,16,0.2,8,3,0.7564402810304449,0.9571428571428572,0.3988095238095238,0.5630252100840336,0.0115830115830115,12.0,67
Bus115,16,0.2,16,3,0.6510538641686182,1.0,0.1130952380952381,0.2032085561497326,0.0,25.0,93
Bus115,16,0.2,32,3,0.6065573770491803,0.0,0.0,0.0,0.0,0.0,-1
