Bus,Cusum Threshold,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus116,0.5,0.5368421052631579,0.2949640287769784,0.9761904761904762,0.4530386740331492,0.5705967976710334,-1.0,8
Bus116,1.0,0.6713450292397661,0.3701149425287356,0.9583333333333334,0.5339966832504146,0.3988355167394469,-1.0,11
Bus116,2.0,0.7251461988304093,0.4111405835543766,0.9226190476190476,0.5688073394495413,0.3231441048034934,-1.0,394
Bus116,4.0,0.7228070175438597,0.4054794520547945,0.8809523809523809,0.5553470919324578,0.3158660844250364,9.5,490
Bus116,8.0,0.6935672514619883,0.3617647058823529,0.7321428571428571,0.484251968503937,0.3158660844250364,22.0,515
