Bus,Cusum Threshold,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,0.5,0.2,0.1971830985915492,1.0,0.3294117647058823,0.0,1.0,1
Bus116,0.5,0.5368421052631579,0.2949640287769784,0.9761904761904762,0.4530386740331492,0.0,8.0,8
Bus117,0.5,0.2,0.1971830985915492,1.0,0.3294117647058823,0.0,1.0,1
Bus118,0.5,0.1988304093567251,0.1969519343493552,1.0,0.3290891283055827,0.0,1.0,1
Bus119,0.5,0.2,0.1971830985915492,1.0,0.3294117647058823,0.0,1.0,1
Bus121,0.5,0.8035087719298246,0.0,0.0,0.0,0.0,,-1
Bus135,0.5,0.3309941520467836,0.227027027027027,1.0,0.3700440528634361,0.0,11.0,11
Bus139,0.5,0.2631578947368421,0.19921875,0.9107142857142856,0.3269230769230769,0.0,8.0,8
