Bus,d,Gamma,Threshold,Alpha,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,3,0.9,4,0.2,0.7423887587822015,0.9833333333333332,0.3511904761904761,0.5175438596491229,0.0038610038610038,2.5,48
Bus116,3,0.9,4,0.2,0.6814988290398126,0.6818181818181818,0.3571428571428571,0.46875,0.1081081081081081,31.0,105
Bus117,3,0.9,4,0.2,0.702576112412178,0.8153846153846154,0.3154761904761904,0.4549356223175965,0.0463320463320463,11.5,66
Bus118,3,0.9,4,0.2,0.6604215456674473,0.6949152542372882,0.244047619047619,0.3612334801762114,0.0694980694980695,9.0,61
Bus119,3,0.9,4,0.2,0.6955503512880562,0.8064516129032258,0.2976190476190476,0.4347826086956521,0.0463320463320463,11.5,66
Bus121,3,0.9,4,0.2,0.6955503512880562,0.6666666666666666,0.4523809523809524,0.5390070921985816,0.1467181467181467,11.5,66
Bus135,3,0.9,4,0.2,0.7540983606557377,1.0,0.375,0.5454545454545454,0.0,0.0,43
Bus139,3,0.9,4,0.2,0.7962529274004684,0.8785046728971962,0.5595238095238095,0.6836363636363636,0.0501930501930501,7.5,58
