p,Detection Time,Accuracy,Precision,Recall,F1 Score
0.1,110,0.32514619883040935,0.22550335570469798,1.0,0.36801752464403065
0.2,112,0.32748538011695905,0.22611036339165544,1.0,0.36882546652030734
0.5,121,0.33801169590643276,0.22888283378746593,1.0,0.37250554323725055
0.7,316,0.5660818713450292,0.3116883116883117,1.0,0.4752475247524752
0.9,-1,0.8035087719298246,0.0,0.0,0.0
