Method,Bus,Threshold,Detection_Point,Accuracy,Recall,Precision,F1_Score,AUC
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.22153465346534654,1.0,0.2107904642409034,,
Method B,,,,0.22153465346534654,1.0,0.2107904642409034,,
Method B,,,,0.22153465346534654,1.0,0.2107904642409034,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.22524752475247525,1.0,0.21158690176322417,,
Method B,,,,0.22524752475247525,1.0,0.21158690176322417,,
Method B,,,,0.22524752475247525,1.0,0.21158690176322417,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.22153465346534654,1.0,0.2107904642409034,,
Method B,,,,0.22153465346534654,1.0,0.2107904642409034,,
Method B,,,,0.22153465346534654,1.0,0.2107904642409034,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6088992974238876,0.005952380952380952,1.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6088992974238876,0.005952380952380952,1.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6088992974238876,0.005952380952380952,1.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus115,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6112412177985949,0.011904761904761904,1.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6112412177985949,0.011904761904761904,1.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6088992974238876,0.005952380952380952,1.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus116,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus117,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus118,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6088992974238876,0.005952380952380952,1.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus119,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6112412177985949,0.011904761904761904,1.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6112412177985949,0.011904761904761904,1.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus121,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6182669789227166,0.02976190476190476,1.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6088992974238876,0.005952380952380952,1.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6182669789227166,0.02976190476190476,1.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6088992974238876,0.005952380952380952,1.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6159250585480094,0.023809523809523808,1.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus135,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
KNN,Bus139,,,0.6065573770491803,0.0,0.0,,
