Bus,Method,Threshold,Accuracy,Precision,Recall,F1 Score,Detection Time
Bus115,Individual Q-Q,0.1,0.2524752475247525,0.21614583333333334,0.9880952380952381,0.3547008547008547,0
Bus116,Individual Q-Q,0.1,0.780940594059406,0.4117647058823529,0.125,0.1917808219178082,101
Bus117,Individual Q-Q,0.1,0.24876237623762376,0.18687589158345222,0.7797619047619048,0.30149597238204834,41
Bus118,Individual Q-Q,0.1,0.3353960396039604,0.15254237288135594,0.48214285714285715,0.2317596566523605,54
Bus119,Individual Q-Q,0.1,0.2561881188118812,0.19635343618513323,0.8333333333333334,0.3178206583427923,40
Bus121,Individual Q-Q,0.0,0.2042079207920792,0.20496894409937888,0.9821428571428571,0.3391572456320658,0
Bus135,Individual Q-Q,0.0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0
Bus139,Individual Q-Q,0.1,0.6485148514851485,0.08571428571428572,0.07142857142857142,0.07792207792207792,89
