Method,Detection Time,One Bus Detection Time,All Buses Detection Time,Accuracy,Precision,Recall,F1 Score
Method A (p=0.1),0,0,441,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672
Method A (p=0.2),0,0,441,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672
Method A (p=0.5),40,0,441,0.2561881188118812,0.19635343618513323,0.8333333333333334,0.3178206583427923
Method A (p=0.7),41,0,441,0.24752475247524752,0.18571428571428572,0.7738095238095238,0.2995391705069124
Method A (p=0.9),89,0,441,0.6646039603960396,0.18404907975460122,0.17857142857142858,0.18126888217522658
