Method,Detection Time,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Window Size,Threshold
Method A (At least one bus),1,0.20793269230769232,0.20242424242424242,0.9940476190476191,0.3363544813695871,0.0,1.0,12,0.2
Method A (All buses),-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.2
Method A (p=0.1),0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.2
Method A (p=0.2),1,0.20793269230769232,0.20242424242424242,0.9940476190476191,0.3363544813695871,0.0,1.0,12,0.2
Method A (p=0.5),3,0.27163461538461536,0.19667590027700832,0.8452380952380952,0.31910112359550563,0.0,3.0,12,0.2
Method A (p=0.7),3,0.5793269230769231,0.05825242718446602,0.07142857142857142,0.06417112299465241,0.0,3.0,12,0.2
Method A (p=0.9),-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.2
Method A (At least one bus),3,0.23798076923076922,0.19661458333333334,0.8988095238095238,0.32264957264957267,0.0,3.0,12,0.4
Method A (All buses),-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.4
Method A (p=0.1),0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.4
Method A (p=0.2),3,0.23798076923076922,0.19661458333333334,0.8988095238095238,0.32264957264957267,0.0,3.0,12,0.4
Method A (p=0.5),84,0.40865384615384615,0.15086206896551724,0.4166666666666667,0.22151898734177214,0.0,84.0,12,0.4
Method A (p=0.7),-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.4
Method A (p=0.9),-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.4
Method A (At least one bus),0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.01
Method A (All buses),-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.01
Method A (p=0.1),0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.01
Method A (p=0.2),0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.01
Method A (p=0.5),0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.01
Method A (p=0.7),0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.01
Method A (p=0.9),0,0.2141089108910891,0.20921544209215442,1.0,0.34603501544799176,0.0,0.0,24,0.01
Method A (At least one bus),0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.05
Method A (All buses),-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.05
Method A (p=0.1),0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.05
Method A (p=0.2),0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.05
Method A (p=0.5),0,0.24504950495049505,0.21298701298701297,0.9761904761904762,0.34968017057569295,0.0,0.0,24,0.05
Method A (p=0.7),28,0.30074257425742573,0.18441971383147854,0.6904761904761905,0.29109159347553326,0.0,28.0,24,0.05
Method A (p=0.9),60,0.7202970297029703,0.22641509433962265,0.14285714285714285,0.17518248175182483,0.0,60.0,24,0.05
Method A (At least one bus),0,0.22277227722772278,0.21105527638190955,1.0,0.34854771784232363,0.0,0.0,24,0.1
Method A (All buses),-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.1
Method A (p=0.1),0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.1
Method A (p=0.2),0,0.22277227722772278,0.21105527638190955,1.0,0.34854771784232363,0.0,0.0,24,0.1
Method A (p=0.5),54,0.33910891089108913,0.17086330935251798,0.5654761904761905,0.26243093922651933,0.0,54.0,24,0.1
Method A (p=0.7),60,0.5952970297029703,0.136986301369863,0.17857142857142858,0.15503875968992248,0.0,60.0,24,0.1
Method A (p=0.9),-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.1
Method A (At least one bus),41,0.2747524752475248,0.16930379746835442,0.6369047619047619,0.2675,0.0,41.0,24,0.2
Method A (All buses),-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.2
Method A (p=0.1),0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.2
Method A (p=0.2),41,0.2747524752475248,0.16930379746835442,0.6369047619047619,0.2675,0.0,41.0,24,0.2
Method A (p=0.5),56,0.46163366336633666,0.09174311926605505,0.17857142857142858,0.12121212121212122,0.0,56.0,24,0.2
Method A (p=0.7),614,0.7883663366336634,0.0,0.0,0.0,0.0,614.0,24,0.2
Method A (p=0.9),-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.2
Method A (At least one bus),56,0.44183168316831684,0.08985507246376812,0.18452380952380953,0.12085769980506822,0.0,56.0,24,0.4
Method A (All buses),-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.4
Method A (p=0.1),0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.4
Method A (p=0.2),56,0.44183168316831684,0.08985507246376812,0.18452380952380953,0.12085769980506822,0.0,56.0,24,0.4
Method A (p=0.5),60,0.6707920792079208,0.0196078431372549,0.011904761904761904,0.014814814814814815,0.0,60.0,24,0.4
Method A (p=0.7),-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.4
Method A (p=0.9),-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.4
Method A (At least one bus),0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.01
Method A (All buses),-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.01
Method A (p=0.1),0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.01
Method A (p=0.2),0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.01
Method A (p=0.5),0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.01
Method A (p=0.7),0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.01
Method A (p=0.9),0,0.2236842105263158,0.22163588390501318,1.0,0.36285097192224625,0.0,0.0,48,0.01
Method A (At least one bus),0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.05
Method A (All buses),-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.05
Method A (p=0.1),0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.05
Method A (p=0.2),0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.05
Method A (p=0.5),0,0.2236842105263158,0.22015915119363394,0.9880952380952381,0.3600867678958785,0.0,0.0,48,0.05
Method A (p=0.7),1,0.33421052631578946,0.22019867549668873,0.7916666666666666,0.344559585492228,0.0,1.0,48,0.05
Method A (p=0.9),35,0.7328947368421053,0.3118279569892473,0.17261904761904762,0.2222222222222222,0.0,35.0,48,0.05
Method A (At least one bus),0,0.22631578947368422,0.2222222222222222,1.0,0.36363636363636365,0.0,0.0,48,0.1
Method A (All buses),-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.1
Method A (p=0.1),0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.1
Method A (p=0.2),0,0.22631578947368422,0.2222222222222222,1.0,0.36363636363636365,0.0,0.0,48,0.1
Method A (p=0.5),8,0.2736842105263158,0.18627450980392157,0.6785714285714286,0.2923076923076923,0.0,8.0,48,0.1
Method A (p=0.7),34,0.6776315789473685,0.3175355450236967,0.39880952380952384,0.35356200527704484,0.0,34.0,48,0.1
Method A (p=0.9),-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.1
Method A (At least one bus),6,0.2657894736842105,0.2027439024390244,0.7916666666666666,0.32281553398058255,0.0,6.0,48,0.2
Method A (All buses),-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.2
Method A (p=0.1),0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.2
Method A (p=0.2),6,0.2657894736842105,0.2027439024390244,0.7916666666666666,0.32281553398058255,0.0,6.0,48,0.2
Method A (p=0.5),11,0.44605263157894737,0.15902964959568733,0.35119047619047616,0.2189239332096475,0.0,11.0,48,0.2
Method A (p=0.7),-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.2
Method A (p=0.9),-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.2
Method A (At least one bus),10,0.3960526315789474,0.1543942992874109,0.3869047619047619,0.22071307300509338,0.0,10.0,48,0.4
Method A (All buses),-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.4
Method A (p=0.1),0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.4
Method A (p=0.2),10,0.3960526315789474,0.1543942992874109,0.3869047619047619,0.22071307300509338,0.0,10.0,48,0.4
Method A (p=0.5),36,0.6894736842105263,0.1792452830188679,0.1130952380952381,0.1386861313868613,0.0,36.0,48,0.4
Method A (p=0.7),-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.4
Method A (p=0.9),-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.4
Method A (At least one bus),0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.01
Method A (All buses),-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.01
