Method,Detection Time,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Window Size,Threshold
"Method B (outlier_detection, minimum)",0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.05
"Method B (outlier_detection, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.05
"Method B (outlier_detection, median)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.05
"Method B (average, average)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.1
"Method B (average, minimum)",0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.1
"Method B (average, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.1
"Method B (average, median)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.1
"Method B (median, average)",731,0.6766826923076923,0.0,0.0,0.0,0.0,731.0,12,0.1
"Method B (median, minimum)",1,0.203125,0.20216606498194944,1.0,0.33633633633633636,0.0,1.0,12,0.1
"Method B (median, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.1
"Method B (median, median)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.1
"Method B (outlier_detection, average)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.1
"Method B (outlier_detection, minimum)",0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.1
"Method B (outlier_detection, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.1
"Method B (outlier_detection, median)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.1
"Method B (average, average)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.2
"Method B (average, minimum)",1,0.203125,0.20216606498194944,1.0,0.33633633633633636,0.0,1.0,12,0.2
"Method B (average, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.2
"Method B (average, median)",811,0.7728365384615384,0.0,0.0,0.0,0.0,811.0,12,0.2
"Method B (median, average)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.2
"Method B (median, minimum)",3,0.20552884615384615,0.20265379975874548,1.0,0.3370110330992979,0.0,3.0,12,0.2
"Method B (median, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.2
"Method B (median, median)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.2
"Method B (outlier_detection, average)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.2
"Method B (outlier_detection, minimum)",1,0.203125,0.20216606498194944,1.0,0.33633633633633636,0.0,1.0,12,0.2
"Method B (outlier_detection, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.2
"Method B (outlier_detection, median)",811,0.7728365384615384,0.0,0.0,0.0,0.0,811.0,12,0.2
"Method B (average, average)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.4
"Method B (average, minimum)",3,0.20552884615384615,0.20265379975874548,1.0,0.3370110330992979,0.0,3.0,12,0.4
"Method B (average, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.4
"Method B (average, median)",619,0.5420673076923077,0.0,0.0,0.0,0.0,619.0,12,0.4
"Method B (median, average)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.4
"Method B (median, minimum)",84,0.30288461538461536,0.22459893048128343,1.0,0.36681222707423583,0.0,84.0,12,0.4
"Method B (median, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.4
"Method B (median, median)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.4
"Method B (outlier_detection, average)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.4
"Method B (outlier_detection, minimum)",3,0.20552884615384615,0.20265379975874548,1.0,0.3370110330992979,0.0,3.0,12,0.4
"Method B (outlier_detection, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.4
"Method B (outlier_detection, median)",619,0.5420673076923077,0.0,0.0,0.0,0.0,619.0,12,0.4
"Method B (average, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.01
"Method B (average, minimum)",0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.01
"Method B (average, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.01
"Method B (average, median)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.01
"Method B (median, average)",706,0.6658415841584159,0.0,0.0,0.0,0.0,706.0,24,0.01
"Method B (median, minimum)",0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.01
"Method B (median, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.01
"Method B (median, median)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.01
"Method B (outlier_detection, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.01
"Method B (outlier_detection, minimum)",0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.01
"Method B (outlier_detection, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.01
"Method B (outlier_detection, median)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.01
"Method B (average, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.05
"Method B (average, minimum)",0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.05
"Method B (average, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.05
"Method B (average, median)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.05
"Method B (median, average)",699,0.6571782178217822,0.0,0.0,0.0,0.0,699.0,24,0.05
"Method B (median, minimum)",0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.05
"Method B (median, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.05
"Method B (median, median)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.05
"Method B (outlier_detection, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.05
"Method B (outlier_detection, minimum)",0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.05
"Method B (outlier_detection, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.05
"Method B (outlier_detection, median)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.05
"Method B (average, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.1
"Method B (average, minimum)",0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.1
"Method B (average, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.1
"Method B (average, median)",722,0.6856435643564357,0.0,0.0,0.0,0.0,722.0,24,0.1
"Method B (median, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.1
"Method B (median, minimum)",54,0.2747524752475248,0.22281167108753316,1.0,0.3644251626898048,0.0,54.0,24,0.1
"Method B (median, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.1
"Method B (median, median)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.1
"Method B (outlier_detection, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.1
"Method B (outlier_detection, minimum)",0,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,24,0.1
"Method B (outlier_detection, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.1
"Method B (outlier_detection, median)",722,0.6856435643564357,0.0,0.0,0.0,0.0,722.0,24,0.1
"Method B (average, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.2
"Method B (average, minimum)",41,0.25866336633663367,0.21903520208604954,1.0,0.3593582887700535,0.0,41.0,24,0.2
"Method B (average, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.2
"Method B (average, median)",625,0.5655940594059405,0.0,0.0,0.0,0.0,625.0,24,0.2
"Method B (median, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.2
"Method B (median, minimum)",56,0.27722772277227725,0.22340425531914893,1.0,0.3652173913043478,0.0,56.0,24,0.2
"Method B (median, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.2
"Method B (median, median)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.2
"Method B (outlier_detection, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.2
"Method B (outlier_detection, minimum)",41,0.25866336633663367,0.21903520208604954,1.0,0.3593582887700535,0.0,41.0,24,0.2
"Method B (outlier_detection, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.2
"Method B (outlier_detection, median)",625,0.5655940594059405,0.0,0.0,0.0,0.0,625.0,24,0.2
"Method B (average, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.4
"Method B (average, minimum)",56,0.27722772277227725,0.22340425531914893,1.0,0.3652173913043478,0.0,56.0,24,0.4
"Method B (average, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.4
"Method B (average, median)",403,0.7066831683168316,0.4148148148148148,1.0,0.5863874345549738,0.0,403.0,24,0.4
"Method B (median, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.4
"Method B (median, minimum)",60,0.28217821782178215,0.22459893048128343,1.0,0.36681222707423583,0.0,60.0,24,0.4
"Method B (median, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.4
"Method B (median, median)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.4
"Method B (outlier_detection, average)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.4
"Method B (outlier_detection, minimum)",56,0.27722772277227725,0.22340425531914893,1.0,0.3652173913043478,0.0,56.0,24,0.4
"Method B (outlier_detection, maximum)",-1,0.7920792079207921,0.0,0.0,0.0,0.0,,24,0.4
"Method B (outlier_detection, median)",410,0.6138613861386139,0.16666666666666666,0.21428571428571427,0.1875,0.0,410.0,24,0.4
"Method B (average, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.01
"Method B (average, minimum)",0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.01
"Method B (average, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.01
"Method B (average, median)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.01
"Method B (median, average)",664,0.6526315789473685,0.0,0.0,0.0,0.0,664.0,48,0.01
"Method B (median, minimum)",0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.01
"Method B (median, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.01
"Method B (median, median)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.01
"Method B (outlier_detection, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.01
"Method B (outlier_detection, minimum)",0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.01
"Method B (outlier_detection, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.01
"Method B (outlier_detection, median)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.01
"Method B (average, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.05
"Method B (average, minimum)",0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.05
"Method B (average, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.05
"Method B (average, median)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.05
"Method B (median, average)",659,0.6460526315789473,0.0,0.0,0.0,0.0,659.0,48,0.05
"Method B (median, minimum)",0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.05
"Method B (median, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.05
"Method B (median, median)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.05
"Method B (outlier_detection, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.05
"Method B (outlier_detection, minimum)",0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.05
"Method B (outlier_detection, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.05
"Method B (outlier_detection, median)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.05
"Method B (average, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.1
"Method B (average, minimum)",0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.1
"Method B (average, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.1
"Method B (average, median)",725,0.7328947368421053,0.0,0.0,0.0,0.0,725.0,48,0.1
"Method B (median, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.1
"Method B (median, minimum)",8,0.23157894736842105,0.22340425531914893,1.0,0.3652173913043478,0.0,8.0,48,0.1
"Method B (median, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.1
"Method B (median, median)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.1
"Method B (outlier_detection, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.1
"Method B (outlier_detection, minimum)",0,0.22105263157894736,0.22105263157894736,1.0,0.3620689655172414,0.0,0.0,48,0.1
"Method B (outlier_detection, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.1
"Method B (outlier_detection, median)",725,0.7328947368421053,0.0,0.0,0.0,0.0,725.0,48,0.1
"Method B (average, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.2
"Method B (average, minimum)",6,0.22894736842105262,0.22281167108753316,1.0,0.3644251626898048,0.0,6.0,48,0.2
"Method B (average, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.2
"Method B (average, median)",579,0.5407894736842105,0.0,0.0,0.0,0.0,579.0,48,0.2
"Method B (median, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.2
"Method B (median, minimum)",11,0.2355263157894737,0.22429906542056074,1.0,0.366412213740458,0.0,11.0,48,0.2
"Method B (median, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.2
"Method B (median, median)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.2
"Method B (outlier_detection, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.2
"Method B (outlier_detection, minimum)",6,0.22894736842105262,0.22281167108753316,1.0,0.3644251626898048,0.0,6.0,48,0.2
"Method B (outlier_detection, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.2
"Method B (outlier_detection, median)",579,0.5407894736842105,0.0,0.0,0.0,0.0,579.0,48,0.2
"Method B (average, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.4
"Method B (average, minimum)",10,0.23421052631578948,0.224,1.0,0.3660130718954248,0.0,10.0,48,0.4
"Method B (average, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.4
"Method B (average, median)",313,0.6328947368421053,0.37583892617449666,1.0,0.5463414634146342,0.0,313.0,48,0.4
"Method B (median, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.4
"Method B (median, minimum)",36,0.26842105263157895,0.23204419889502761,1.0,0.37668161434977576,0.0,36.0,48,0.4
"Method B (median, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.4
"Method B (median, median)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.4
"Method B (outlier_detection, average)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.4
"Method B (outlier_detection, minimum)",10,0.23421052631578948,0.224,1.0,0.3660130718954248,0.0,10.0,48,0.4
"Method B (outlier_detection, maximum)",-1,0.7789473684210526,0.0,0.0,0.0,0.0,,48,0.4
"Method B (outlier_detection, median)",339,0.6907894736842105,0.41687344913151364,1.0,0.5884413309982487,0.0,339.0,48,0.4
"Method B (average, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.01
"Method B (average, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.01
"Method B (average, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.01
"Method B (average, median)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.01
"Method B (median, average)",581,0.6219879518072289,0.0,0.0,0.0,0.0,581.0,96,0.01
"Method B (median, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.01
"Method B (median, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.01
"Method B (median, median)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.01
"Method B (outlier_detection, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.01
"Method B (outlier_detection, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.01
"Method B (outlier_detection, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.01
"Method B (outlier_detection, median)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.01
"Method B (average, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.05
"Method B (average, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.05
"Method B (average, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.05
"Method B (average, median)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.05
"Method B (median, average)",552,0.5783132530120482,0.0,0.0,0.0,0.0,552.0,96,0.05
"Method B (median, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.05
"Method B (median, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.05
"Method B (median, median)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.05
"Method B (outlier_detection, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.05
"Method B (outlier_detection, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.05
"Method B (outlier_detection, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.05
"Method B (outlier_detection, median)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.05
"Method B (average, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.1
"Method B (average, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.1
"Method B (average, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.1
"Method B (average, median)",638,0.7078313253012049,0.0,0.0,0.0,0.0,638.0,96,0.1
"Method B (median, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.1
"Method B (median, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.1
"Method B (median, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.1
"Method B (median, median)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.1
"Method B (outlier_detection, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.1
"Method B (outlier_detection, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.1
"Method B (outlier_detection, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.1
"Method B (outlier_detection, median)",638,0.7078313253012049,0.0,0.0,0.0,0.0,638.0,96,0.1
"Method B (average, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.2
"Method B (average, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.2
"Method B (average, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.2
"Method B (average, median)",347,0.5707831325301205,0.31545741324921134,0.5952380952380952,0.41237113402061853,0.0,347.0,96,0.2
"Method B (median, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.2
"Method B (median, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.2
"Method B (median, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.2
"Method B (median, median)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.2
"Method B (outlier_detection, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.2
"Method B (outlier_detection, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.2
"Method B (outlier_detection, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.2
"Method B (outlier_detection, median)",347,0.5707831325301205,0.31545741324921134,0.5952380952380952,0.41237113402061853,0.0,347.0,96,0.2
"Method B (average, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.4
"Method B (average, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.4
"Method B (average, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.4
"Method B (average, median)",16,0.27710843373493976,0.25925925925925924,1.0,0.4117647058823529,0.0,16.0,96,0.4
"Method B (median, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.4
"Method B (median, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.4
"Method B (median, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.4
"Method B (median, median)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.4
"Method B (outlier_detection, average)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.4
"Method B (outlier_detection, minimum)",0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.4
"Method B (outlier_detection, maximum)",-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.4
"Method B (outlier_detection, median)",16,0.697289156626506,0.0,0.0,0.0,0.0,16.0,96,0.4
