Voting Scheme,Detection Time,Accuracy,Precision,Recall,F1 Score
at_least_one,24,0.23104693140794225,0.20817843866171004,1.0,0.3446153846153846
all_buses,24,0.23104693140794225,0.20817843866171004,1.0,0.3446153846153846
p_0.1,24,0.23104693140794225,0.20817843866171004,1.0,0.3446153846153846
p_0.2,24,0.23104693140794225,0.20817843866171004,1.0,0.3446153846153846
p_0.5,24,0.23104693140794225,0.20817843866171004,1.0,0.3446153846153846
p_0.7,24,0.23104693140794225,0.20817843866171004,1.0,0.3446153846153846
p_0.9,24,0.23104693140794225,0.20817843866171004,1.0,0.3446153846153846
