Bus,d,k,alpha,h,Confusion Matrix,Accuracy,Precision,Recall,F1 Score
Bus115,3,20,1.0,20,"[[ 37 222]
 [  0 168]]",0.48009367681498827,0.4307692307692308,1.0,0.6021505376344086
Bus115,3,20,1.0,30,"[[ 42 217]
 [  3 165]]",0.4847775175644028,0.4319371727748691,0.9821428571428571,0.6
Bus115,3,20,5.0,1,"[[  0 259]
 [  0 168]]",0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412
Bus115,3,20,5.0,5,"[[  2 257]
 [  0 168]]",0.3981264637002342,0.3952941176470588,1.0,0.5666104553119731
Bus115,3,20,5.0,10,"[[  5 254]
 [  0 168]]",0.405152224824356,0.3981042654028436,1.0,0.5694915254237288
Bus115,3,20,5.0,20,"[[  9 250]
 [  0 168]]",0.41451990632318503,0.4019138755980861,1.0,0.5733788395904437
Bus115,3,20,5.0,30,"[[ 14 245]
 [  0 168]]",0.4262295081967213,0.4067796610169492,1.0,0.5783132530120482
Bus115,3,20,10.0,1,"[[  0 259]
 [  0 168]]",0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412
Bus115,3,20,10.0,5,"[[  1 258]
 [  0 168]]",0.3957845433255269,0.39436619718309857,1.0,0.5656565656565656
Bus115,3,20,10.0,10,"[[  3 256]
 [  0 168]]",0.40046838407494145,0.39622641509433965,1.0,0.5675675675675675
Bus115,3,20,10.0,20,"[[  7 252]
 [  0 168]]",0.4098360655737705,0.4,1.0,0.5714285714285714
Bus115,3,20,10.0,30,"[[ 10 249]
 [  0 168]]",0.4168618266978923,0.4028776978417266,1.0,0.5743589743589743
Bus116,3,10,0.01,1,"[[259   0]
 [164   4]]",0.6159250585480094,1.0,0.023809523809523808,0.046511627906976744
Bus116,3,10,0.01,5,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.01,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.01,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.05,1,"[[259   0]
 [146  22]]",0.65807962529274,1.0,0.13095238095238096,0.23157894736842105
Bus116,3,10,0.05,5,"[[259   0]
 [163   5]]",0.6182669789227166,1.0,0.02976190476190476,0.057803468208092484
Bus116,3,10,0.05,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.05,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.05,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.1,1,"[[252   7]
 [122  46]]",0.6978922716627635,0.8679245283018868,0.27380952380952384,0.416289592760181
