Method,Detection Time,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay
Method A (At least one bus),65,0.6627634660421545,0.875,0.16666666666666666,0.28,0.015444015444015444,23.0
Method A (All buses),-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
Method A (p=0.1),0,0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412,1.0,0.0
Method A (p=0.2),65,0.6627634660421545,0.875,0.16666666666666666,0.28,0.015444015444015444,23.0
Method A (p=0.5),92,0.6135831381733021,1.0,0.017857142857142856,0.03508771929824561,0.0,50.0
Method A (p=0.7),205,0.6088992974238876,1.0,0.005952380952380952,0.011834319526627219,0.0,163.0
Method A (p=0.9),-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
